Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Season Type,PER,Adjusted Salary
621,Dalen Terry,20,CHI,SG,38.0,0.0,5.6,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.493,0.4,0.6,0.667,0.3,0.7,1.0,0.6,0.3,0.1,0.2,0.6,2.2,Unknown,terryda01,Regular,14.1,3380187.95
622,Nerlens Noel,28,2TM,C,17.0,4.0,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,Unknown,noelne01,Regular,7.9,9946599.7
623,Nerlens Noel,28,DET,C,14.0,3.0,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2.0,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3,Unknown,noelne01,Regular,10.0,9946599.7
624,Nerlens Noel,28,BRK,C,3.0,1.0,14.3,0.3,2.0,0.167,0.0,0.0,0.346,0.3,2.0,0.167,0.167,0.3,0.7,0.5,1.0,2.0,3.0,1.0,1.0,0.3,1.7,2.3,1.0,Unknown,noelne01,Regular,0.3,9946599.7
625,Davon Reed,27,2TM,SG,43.0,1.0,8.0,0.7,2.0,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.435,0.4,0.6,0.667,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,2.1,Unknown,reedda01,Regular,6.2,2014654.09
626,Davon Reed,27,DEN,SG,35.0,1.0,9.0,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1.0,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1.0,2.3,Unknown,reedda01,Regular,5.2,2014654.09
627,Davon Reed,27,LAL,SG,8.0,0.0,3.4,0.4,0.5,0.75,0.1,0.3,0.5,0.3,0.3,1.0,0.875,0.1,0.5,0.25,0.1,0.4,0.5,0.5,0.3,0.0,0.0,0.4,1.0,Unknown,reedda01,Regular,16.7,2014654.09
628,Andre Iguodala,39,GSW,PF,8.0,0.0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,Unknown,iguodan01,Regular,7.3,3077747.24
629,Chris Silva,26,DAL,PF,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.346,1.0,1.0,1.0,1.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,Unknown,silvach01,Regular,-2.2,223529.41
630,Garrett Temple,36,NOP,SG,25.0,0.0,6.5,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.522,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2.0,Unknown,templga01,Regular,10.5,5460474.71
631,Stanley Umude,23,DET,SG,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.534,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Unknown,umudest01,Regular,65.6,61953.17
632,Donovan Williams,21,ATL,SG,2.0,0.0,2.0,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.4,0.0,0.0,0.77,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Unknown,willido02,Regular,14.5,254008.72
633,Vince Williams Jr.,22,MEM,SG,15.0,1.0,7.0,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.35,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.4,0.1,0.3,0.8,2.0,Unknown,willivi01,Regular,3.9,4699471.69
634,Ryan Rollins,20,GSW,PG,12.0,0.0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,Unknown,rolliry01,Regular,-1.4,1077988.05
635,Greg Brown III,21,POR,PF,16.0,0.0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,Unknown,browngr01,Regular,5.8,4699471.69
636,Trevor Hudgins,23,HOU,PG,5.0,0.0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.333,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,Unknown,hudgitr01,Regular,4.2,538994.56
637,Alize Johnson,26,SAS,PF,4.0,0.0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,Unknown,johnsal02,Regular,4.3,203668.13
638,Xavier Moon,28,LAC,SG,4.0,0.0,5.0,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0.389,0.0,0.0,0.77,0.0,0.8,0.8,1.3,0.0,0.0,0.3,0.5,1.8,Unknown,moonxa01,Regular,7.2,123906.33
639,Alex Len,29,SAC,C,26.0,2.0,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,Unknown,lenal01,Regular,12.8,4150405.63
640,Dylan Windler,26,CLE,SF,3.0,0.0,3.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,0.77,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.7,Unknown,windldy01,Regular,19.0,4276102.99
641,Buddy Boeheim,23,DET,SF,10.0,0.0,9.0,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.259,0.2,0.2,1.0,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,Unknown,boehebu01,Regular,0.5,538994.56
642,Tony Bradley,25,CHI,C,12.0,0.0,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,Unknown,bradlto01,Regular,21.7,2156776.83
